panel,method,station,mae,mse
beijing/legacy_native_h96,correlation_transport,Aotizhongxin,1.0455038788861408,2.1401369966488311
beijing/legacy_native_h96,correlation_transport,Changping,0.7360475269751513,1.2470836677532291
beijing/legacy_native_h96,correlation_transport,Dingling,0.85479945206080943,1.3212293564408664
beijing/legacy_native_h96,correlation_transport,Dongsi,0.86601820741338909,1.383180232816416
beijing/legacy_native_h96,correlation_transport,Guanyuan,0.79563557843748733,1.4380278357387799
beijing/legacy_native_h96,correlation_transport,Gucheng,0.78296624583828922,1.1768221236881902
beijing/legacy_native_h96,correlation_transport,Huairou,0.77697313904754284,1.2800589443421619
beijing/legacy_native_h96,correlation_transport,Nongzhanguan,0.75772976076499754,1.0306377191265146
beijing/legacy_native_h96,correlation_transport,Shunyi,0.89093847993575492,1.6619495129494011
beijing/legacy_native_h96,correlation_transport,Tiantan,0.79969081641725737,1.6514156492221586
beijing/legacy_native_h96,correlation_transport,Wanliu,0.91450741417843717,2.0642266516811301
beijing/legacy_native_h96,correlation_transport,Wanshouxigong,0.81109389442629787,1.8420411969865862
beijing/legacy_native_h96,corruption_lora,Aotizhongxin,0.98000140258888369,1.9162598412771636
beijing/legacy_native_h96,corruption_lora,Changping,0.75140845876654261,1.3746344743773518
beijing/legacy_native_h96,corruption_lora,Dingling,0.91200878721361234,1.6367736834925211
beijing/legacy_native_h96,corruption_lora,Dongsi,0.86235902460622416,1.2871560126264441
beijing/legacy_native_h96,corruption_lora,Guanyuan,0.76547221459558679,1.280783005387363
beijing/legacy_native_h96,corruption_lora,Gucheng,0.82883031259209206,1.2224409257036604
beijing/legacy_native_h96,corruption_lora,Huairou,0.83840704615624295,1.4470421848707957
beijing/legacy_native_h96,corruption_lora,Nongzhanguan,0.78601929269041471,1.0466668082548938
beijing/legacy_native_h96,corruption_lora,Shunyi,0.88496932257267213,1.5909736370836145
beijing/legacy_native_h96,corruption_lora,Tiantan,0.84023640782022169,1.812349034770474
beijing/legacy_native_h96,corruption_lora,Wanliu,1.0304794135903426,2.681965059658328
beijing/legacy_native_h96,corruption_lora,Wanshouxigong,0.80696194207660121,1.829004237699593
